,Contact Infectivity,Duration,Infectious,Recovered,Recovering,Succumbing,Susceptible,Total Population
2.5,0.3,5,6.407995818635889,2.8338085633978904,1.281599163727178,1.914244306167704,995.7581956179664,1000
2.625,0.3,5,6.487421381849088,2.9947512755587344,1.2974842763698176,1.9375030917342846,995.5178273425923,1000
2.75,0.3,5,6.5677721186281275,3.1576882822491537,1.3135544237256256,1.9610209114678696,995.2745395991229,1000
2.875,0.3,5,6.649057299339829,3.3226427996116703,1.3298114598679658,1.9848000541520303,995.0282999010487,1000
3.0,0.3,5,6.7312862484070095,3.489638276056232,1.3462572496814018,2.0088428132854563,994.7790754755371,1000
3.125,0.3,5,6.814468343532107,3.6586983936044053,1.3628936687064215,2.0331514866189058,994.5268332628638,1000
3.25,0.3,5,6.898613014882013,3.8298470692138036,1.3797226029764027,2.0577283756771916,994.2715399159044,1000
3.375,0.3,5,6.983729744233177,4.003108456081762,1.3967459488466354,2.082575785265919,994.0131617996855,1000
3.5,0.3,5,7.069828064076087,4.178506944927258,1.4139656128152174,2.1076960229627066,993.7516649909971,1000
3.625,0.3,5,7.156917556678193,4.356067165250065,1.4313835113356386,2.133091398592635,993.4870152780722,1000
3.75,0.3,5,7.245007853104332,4.535813986566069,1.4490015706208665,2.1587642236876268,993.2191781603301,1000
3.875,0.3,5,7.334108632193701,4.717772519617707,1.4668217264387402,2.1847168109295003,992.9481188481892,1000
4.0,0.3,5,7.424229619492438,4.901968117558401,1.4848459238984877,2.210951473576431,992.6738022629497,1000
4.125,0.3,5,7.515380586140831,5.088426377109889,1.5030761172281664,2.2374705248725375,992.3961930367498,1000
4.25,0.3,5,7.6075713477141615,5.277173139691303,1.5215142695428323,2.26427627744032,992.115255512595,1000
4.375,0.3,5,7.700811763016228,5.468234492518831,1.5401623526032455,2.2913710426556944,991.8309537444653,1000
4.5,0.3,5,7.795111732824528,5.661636769674755,1.5590223465649056,2.318757130005346,991.543251497501,1000
4.625,0.3,5,7.890481198586098,5.85740655314467,1.5780962397172196,2.3464368464261183,991.2521122482696,1000
4.75,0.3,5,7.986930141063009,6.0555706738216175,1.5973860282126018,2.3744124956262067,990.9574991851157,1000
4.875,0.3,5,8.08446857892648,6.25615621247589,1.6168937157852958,2.4026863773878544,990.6593752085979,1000
5.0,0.3,5,8.183106567298593,6.459190500689182,1.6366213134597185,2.43126078685131,990.3577029320124,1000
5.125,0.3,5,8.282854196240576,6.664701121751804,1.6565708392481153,2.460138013779783,990.0524446820078,1000
5.25,0.3,5,8.383721589186594,6.8727159115215795,1.676744317837319,2.48932034180513,989.7435624992921,1000
5.375,0.3,5,8.485718901322024,7.0832629592430765,1.6971437802644047,2.5188100476540294,989.4310181394352,1000
5.5,0.3,5,8.58885631790514,7.296370608325766,1.717771263581028,2.548609400354386,989.1147730737694,1000
5.625,0.3,5,8.693144052531174,7.51206745707968,1.7386288105062349,2.5787206604217148,988.7947884903895,1000
5.75,0.3,5,8.79859234533765,7.73038235940713,1.7597184690675298,2.609146079025268,988.4710252952555,1000
5.875,0.3,5,8.905211461149968,7.951344425448995,1.7810422922299936,2.639887897133659,988.1434441134012,1000
