,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature
56,100,0.05710090089583332,70,75.71009008958333
57,100,0.05653238381562673,70,75.65323838156267
58,100,0.055969527095684556,70,75.59695270956846
59,100,0.05541227437942666,70,75.54122743794267
60,100,0.054860569871379286,70,75.48605698713793
61,100,0.05431435833158872,70,75.43143583315887
62,100,0.053773585070090064,70,75.377358507009
63,100,0.05323819594143075,70,75.32381959414307
64,100,0.05270813733925039,70,75.27081373392504
65,100,0.052183356190912494,70,75.21833561909125
66,100,0.05166379995219131,70,75.16637999521913
67,100,0.051149416602009834,70,75.11494166020098
68,100,0.050640154637231094,70,75.06401546372311
69,100,0.05013596306750287,70,75.01359630675029
70,100,0.049636791410150496,70,74.96367914101505
71,100,0.04914258968512357,70,74.91425896851236
72,100,0.048653308409990076,70,74.86533084099901
73,100,0.04816889859498388,70,74.81688985949839
74,100,0.047689311738098185,70,74.76893117380982
75,100,0.04721449982022889,70,74.72144998202289
76,100,0.04674441530036873,70,74.67444153003687
77,100,0.04627901111084469,70,74.62790111108447
78,100,0.04581824065260676,70,74.58182406526068
79,100,0.04536205779056147,70,74.53620577905615
80,100,0.044910416848953784,70,74.49104168489538
81,100,0.044463272606791976,70,74.4463272606792
82,100,0.044020580293321246,70,74.40205802933212
83,100,0.043582295583540404,70,74.35822955835404
84,100,0.04314837459376363,70,74.31483745937636
85,100,0.042718773877227535,70,74.27187738772275
86,100,0.04229345041973957,70,74.22934504197396
87,100,0.0418723616353725,70,74.18723616353725
88,100,0.04145546536219939,70,74.14554653621994
89,100,0.04104271985807315,70,74.10427198580732
90,100,0.04063408379644585,70,74.06340837964459
91,100,0.040229516262231896,70,74.02295162622319
92,100,0.039828976747711096,70,73.98289767477111
93,100,0.039432425148472276,70,73.94324251484723
94,100,0.03903982175939845,70,73.90398217593984
95,100,0.03865112727069103,70,73.8651127270691
96,100,0.03826630276393402,70,73.8266302763934
97,100,0.03788530970819693,70,73.78853097081969
98,100,0.03750810995617712,70,73.75081099561771
99,100,0.03713466574038009,70,73.71346657403801
100,100,0.03676493966933833,70,73.67649396693383
101,100,0.03639889472386713,70,73.63988947238671
102,100,0.0360364942533576,70,73.60364942533576
103,100,0.03567770197210862,70,73.56777019721086
104,100,0.03532248195569139,70,73.53224819556914
