00:00:00:000   	outinfectious			5
00:00:00:3258			outrecovered			0.167089
00:00:00:328   		outrecovered			0.16876
00:00:00:331			outrecovered			0.170448
00:00:00:334			outrecovered			0.172152
00:00:00:337			outrecovered			0.173874
00:00:00:3418			outrecovered			0.175613
00:00:00:344			outrecovered			0.177369
00:00:00:347   		outrecovered			0.179142
00:00:00:350   	outinfectious			5.36068
00:00:00:351			outrecovered			0.180934
00:00:00:354			outrecovered			0.182743
00:00:00:357			outrecovered			0.184571
00:00:00:361			outrecovered			0.186416
00:00:00:364			outrecovered			0.18828
00:00:00:368			outrecovered			0.190163
00:00:00:371			outrecovered			0.192065
00:00:00:375			outrecovered			0.193986
00:00:00:3794			outrecovered			0.195925
00:00:00:382			outrecovered			0.197885
00:00:00:386			outrecovered			0.199863
00:00:00:390			outrecovered			0.201862
00:00:00:393			outrecovered			0.203881
00:00:00:397			outrecovered			0.20592
00:00:00:400   	outinfectious			5.41428
00:00:00:401			outrecovered			0.207979
00:00:00:405			outrecovered			0.210059
00:00:00:409			outrecovered			0.212159
00:00:00:413			outrecovered			0.214281
00:00:00:417			outrecovered			0.216424
00:00:00:421			outrecovered			0.218588
00:00:00:425			outrecovered			0.220774
00:00:00:429			outrecovered			0.222981
00:00:00:433			outrecovered			0.225211
00:00:00:437   		outrecovered			0.227463
00:00:00:441			outrecovered			0.229738
00:00:00:445			outrecovered			0.232035
00:00:00:450   	outinfectious			5.46843
00:00:00:450			outrecovered			0.234356
00:00:00:454			outrecovered			0.236699
00:00:00:458			outrecovered			0.239066
00:00:00:463			outrecovered			0.241457
00:00:00:467			outrecovered			0.243871
00:00:00:472			outrecovered			0.24631
00:00:00:476			outrecovered			0.248773
00:00:00:481			outrecovered			0.251261
00:00:00:485			outrecovered			0.253774
00:00:00:490			outrecovered			0.256311
00:00:00:4951			outrecovered			0.258874
00:00:00:499			outrecovered			0.261463
00:00:00:500   	outinfectious			5.52311
00:00:00:504			outrecovered			0.264078
00:00:00:509			outrecovered			0.266719
00:00:00:514   		outrecovered			0.269386
00:00:00:519			outrecovered			0.27208
00:00:00:523			outrecovered			0.2748
00:00:00:528			outrecovered			0.277548
00:00:00:533			outrecovered			0.280324
00:00:00:5394			outrecovered			0.283127
00:00:00:544			outrecovered			0.285958
00:00:00:549			outrecovered			0.288818
00:00:00:550   	outinfectious			5.57834
00:00:00:554			outrecovered			0.291706
00:00:00:559			outrecovered			0.294623
00:00:00:5655			outrecovered			0.29757
00:00:00:570			outrecovered			0.300545
00:00:00:575			outrecovered			0.303551
00:00:00:581			outrecovered			0.306586
00:00:00:586			outrecovered			0.309652
00:00:00:592   		outrecovered			0.312749
00:00:00:597			outrecovered			0.315876
00:00:00:600   	outinfectious			5.63413
00:00:00:603			outrecovered			0.319035
00:00:00:609			outrecovered			0.322225
00:00:00:614			outrecovered			0.325447
00:00:00:620			outrecovered			0.328702
00:00:00:626			outrecovered			0.331989
00:00:00:632			outrecovered			0.335309
00:00:00:638			outrecovered			0.338662
00:00:00:644			outrecovered			0.342048
00:00:00:650   	outinfectious			5.69047
00:00:00:650			outrecovered			0.345469
00:00:00:656			outrecovered			0.348924
00:00:00:662			outrecovered			0.352413
00:00:00:668			outrecovered			0.355937
00:00:00:6758			outrecovered			0.359496
00:00:00:681			outrecovered			0.363091
00:00:00:687   		outrecovered			0.366722
00:00:00:694			outrecovered			0.370389
00:00:00:700   	outinfectious			5.74737
00:00:00:700			outrecovered			0.374093
00:00:00:707			outrecovered			0.377834
00:00:00:713   		outrecovered			0.381613
00:00:00:720			outrecovered			0.385429
00:00:00:727			outrecovered			0.389283
00:00:00:733   		outrecovered			0.393176
00:00:00:740   		outrecovered			0.397108
00:00:00:747			outrecovered			0.401079
00:00:00:750   	outinfectious			5.80484
00:00:00:754			outrecovered			0.40509
00:00:00:761			outrecovered			0.40914
00:00:00:768			outrecovered			0.413232
00:00:00:775			outrecovered			0.417364
00:00:00:782			outrecovered			0.421538
00:00:00:790			outrecovered			0.425753
00:00:00:797			outrecovered			0.430011
00:00:00:800   	outinfectious			5.86289
00:00:00:804			outrecovered			0.434311
00:00:00:812			outrecovered			0.438654
00:00:00:819			outrecovered			0.44304
00:00:00:827			outrecovered			0.447471
00:00:00:834			outrecovered			0.451946
00:00:00:842			outrecovered			0.456465
00:00:00:850   	outinfectious			5.92152
00:00:00:850			outrecovered			0.46103
00:00:00:858			outrecovered			0.46564
00:00:00:866			outrecovered			0.470296
00:00:00:8743			outrecovered			0.474999
00:00:00:8823			outrecovered			0.479749
00:00:00:890   		outrecovered			0.484547
00:00:00:898			outrecovered			0.489392
00:00:00:900   	outinfectious			5.98074
00:00:00:906			outrecovered			0.494286
00:00:00:914   		outrecovered			0.499229
00:00:00:923			outrecovered			0.504221
00:00:00:931			outrecovered			0.509264
00:00:00:940			outrecovered			0.514356
00:00:00:948			outrecovered			0.5195
00:00:00:950   	outinfectious			6.04054
00:00:00:957   		outrecovered			0.524695
00:00:00:96671			outrecovered			0.529942
00:00:00:974			outrecovered			0.535241
00:00:00:983			outrecovered			0.540594
00:00:00:992			outrecovered			0.545999
00:00:01:000   	outinfectious			6.10095
00:00:01:001			outrecovered			0.551459
00:00:01:010			outrecovered			0.556974
00:00:01:019   		outrecovered			0.562544
00:00:01:02999			outrecovered			0.568169
00:00:01:038			outrecovered			0.573851
00:00:01:047   		outrecovered			0.579589
00:00:01:050   	outinfectious			6.16196
00:00:01:057			outrecovered			0.585385
00:00:01:066			outrecovered			0.591239
00:00:01:076			outrecovered			0.597152
00:00:01:085			outrecovered			0.603123
00:00:01:095			outrecovered			0.609154
00:00:01:100   	outinfectious			6.22358
00:00:01:105			outrecovered			0.615246
00:00:01:115			outrecovered			0.621398
00:00:01:125			outrecovered			0.627612
00:00:01:135			outrecovered			0.633888
00:00:01:145			outrecovered			0.640227
00:00:01:150   	outinfectious			6.28582
00:00:01:155			outrecovered			0.64663
00:00:01:166			outrecovered			0.653096
00:00:01:176			outrecovered			0.659627
00:00:01:1877			outrecovered			0.666223
00:00:01:197			outrecovered			0.672885
00:00:01:200   	outinfectious			6.34867
00:00:01:208			outrecovered			0.679614
00:00:01:2193			outrecovered			0.68641
00:00:01:229   		outrecovered			0.693274
00:00:01:240			outrecovered			0.700207
00:00:01:250   	outinfectious			6.41216
00:00:01:251			outrecovered			0.707209
00:00:01:262			outrecovered			0.714281
00:00:01:273			outrecovered			0.721424
00:00:01:285			outrecovered			0.728638
00:00:01:296			outrecovered			0.735925
00:00:01:300   	outinfectious			6.47628
00:00:01:307			outrecovered			0.743284
00:00:01:319			outrecovered			0.750717
00:00:01:3316			outrecovered			0.758224
00:00:01:342			outrecovered			0.765806
00:00:01:350   	outinfectious			6.54104
00:00:01:354   		outrecovered			0.773464
00:00:01:366			outrecovered			0.781199
