,Recovered,Infectious,Susceptible
48.65625,784.468894313,125.725929947,94.8051757396
48.6875,784.861787844,125.444781437,94.6934307188
48.71875,785.253802786,125.164130214,94.5820669996
48.75,785.644940693,124.883976202,94.4710831044
48.78125,786.035203119,124.604319319,94.3604775623
48.8125,786.424591617,124.325159475,94.2502489084
48.84375,786.81310774,124.046496575,94.1403956844
48.875,787.200753042,123.76833052,94.0309164382
48.90625,787.587529075,123.490661201,93.9218097237
48.9375,787.973437391,123.213488508,93.8130741013
48.96875,788.358479543,122.93681232,93.7047081376
49.0,788.742657081,122.660632514,93.5967104053
49.03125,789.125971558,122.384948959,93.4890794831
49.0625,789.508424523,122.109761521,93.381813956
49.09375,789.890017528,121.835070057,93.2749124151
49.125,790.270752122,121.560874421,93.1683734574
49.15625,790.650629855,121.287174459,93.062195686
49.1875,791.029652275,121.013970015,92.9563777101
49.21875,791.407820931,120.741260924,92.8509181448
49.25,791.785137371,120.469047018,92.745815611
49.28125,792.161603143,120.197328121,92.6410687358
49.3125,792.537219794,119.926104054,92.536676152
49.34375,792.911988869,119.655374633,92.4326364984
49.375,793.285911915,119.385139666,92.3289484195
49.40625,793.658990476,119.115398958,92.2256105657
49.4375,794.031226098,118.846152309,92.1226215933
49.46875,794.402620324,118.577399512,92.019980164
49.5,794.773174697,118.309140357,91.9176849457
49.53125,795.142890761,118.041374627,91.8157346118
49.5625,795.511770057,117.774102102,91.7141278412
49.59375,795.879814126,117.507322556,91.6128633188
49.625,796.247024509,117.241035756,91.5119397349
49.65625,796.613402745,116.975241469,91.4113557856
49.6875,796.978950375,116.709939453,91.3111101723
49.71875,797.343668936,116.445129462,91.2112016022
49.75,797.707559965,116.180811247,91.1116287881
49.78125,798.070625,115.916984552,91.0123904479
49.8125,798.432865577,115.653649117,90.9134853055
49.84375,798.794283231,115.390804679,90.8149120899
49.875,799.154879495,115.128450969,90.7166695357
49.90625,799.514655905,114.866587713,90.6187563828
49.9375,799.873613991,114.605214632,90.5211713766
49.96875,800.231755287,114.344331445,90.4239132678
50.0,800.589081323,114.083937865,90.3269808124
50.03125,800.945593629,113.8240336,90.2303727718
50.0625,801.301293734,113.564618354,90.1340879126
50.09375,801.656183166,113.305691827,90.0381250067
50.125,802.010263453,113.047253716,89.9424828313
50.15625,802.363536121,112.789303711,89.8471601687
50.1875,802.716002695,112.531841499,89.7521558065
50.21875,803.067664699,112.274866763,89.6574685374
50.25,803.418523658,112.018379183,89.5630971592
50.28125,803.768581093,111.762378432,89.4690404751
50.3125,804.117838526,111.506864181,89.3752972929
50.34375,804.466297476,111.251836098,89.281866426
50.375,804.813959464,110.997293843,89.1887466926
50.40625,805.160826007,110.743237077,89.0959369158
50.4375,805.506898623,110.489665453,89.0034359239
50.46875,805.852178828,110.236578622,88.9112425502
50.5,806.196668136,109.983976231,88.8193556329
50.53125,806.540368062,109.731857923,88.7277740151
50.5625,806.883280118,109.480223337,88.6364965449
50.59375,807.225405816,109.229072109,88.5455220752
50.625,807.566746666,108.97840387,88.4548494638
50.65625,807.907304178,108.728218249,88.3644775734
50.6875,808.24707986,108.478514869,88.2744052715
50.71875,808.586075219,108.229293351,88.1846314304
50.75,808.924291761,107.980553312,88.0951549271
50.78125,809.26173099,107.732294367,88.0059746436
50.8125,809.59839441,107.484516124,87.9170894664
50.84375,809.934283523,107.237218191,87.8284982869
50.875,810.269399829,106.99040017,87.7402000009
50.90625,810.60374483,106.744061661,87.6521935093
50.9375,810.937320023,106.49820226,87.5644777173
50.96875,811.270126905,106.25282156,87.4770515348
51.0,811.602166972,106.007919151,87.3899138766
51.03125,811.933441719,105.763494619,87.3030636617
51.0625,812.26395264,105.519547546,87.2164998138
51.09375,812.593701226,105.276077512,87.1302212613
51.125,812.922688968,105.033084095,87.044226937
51.15625,813.250917356,104.790566866,86.9585157782
51.1875,813.578387878,104.548525396,86.8730867267
51.21875,813.90510202,104.306959252,86.7879387287
51.25,814.231061267,104.065867998,86.7030707351
51.28125,814.556267105,103.825251194,86.6184817009
51.3125,814.880721015,103.5851084,86.5341705857
51.34375,815.204424478,103.345439168,86.4501363534
51.375,815.527378976,103.106243052,86.3663779724
51.40625,815.849585985,102.867519599,86.2828944153
51.4375,816.171046984,102.629268357,86.1996846591
51.46875,816.491763448,102.391488867,86.116747685
51.5,816.81173685,102.154180671,86.0340824786
51.53125,817.130968665,101.917343305,85.9516880298
51.5625,817.449460363,101.680976304,85.8695633327
51.59375,817.767213414,101.445079201,85.7877073855
51.625,818.084229286,101.209651523,85.7061191908
51.65625,818.400509447,100.974692797,85.6247977552
51.6875,818.716055362,100.740202548,85.5437420898
51.71875,819.030868495,100.506180295,85.4629512094
51.75,819.344950309,100.272625558,85.3824241333
51.78125,819.658302264,100.039537852,85.3021598848
51.8125,819.970925819,99.8069166895,85.2221574912
51.84375,820.282822434,99.5747615821,85.1424159839
51.875,820.593993564,99.3430720375,85.0629343986
51.90625,820.904440664,99.1118475613,84.9837117746
51.9375,821.214165188,98.8810876566,84.9047471557
51.96875,821.523168587,98.6507918241,84.8260395893
52.0,821.831452311,98.4209595618,84.7475881271
52.03125,822.13901781,98.1915903658,84.6693918245
52.0625,822.44586653,97.9626837294,84.591449741
52.09375,822.751999916,97.7342391437,84.51376094
52.125,823.057419414,97.5062560976,84.4363244889
52.15625,823.362126464,97.2787340774,84.3591394587
52.1875,823.666122508,97.0516725674,84.2822049247
52.21875,823.969408985,96.8250710496,84.2055199658
52.25,824.271987332,96.5989290037,84.1290836646
52.28125,824.573858985,96.3732459072,84.052895108
52.3125,824.875025378,96.1480212356,83.9769533861
52.34375,825.175487945,95.923254462,83.9012575933
52.375,825.475248115,95.6989450576,83.8258068276
52.40625,825.774307318,95.4750924913,83.7506001905
52.4375,826.072666982,95.2516962301,83.6756367877
52.46875,826.370328533,95.0287557388,83.6009157283
52.5,826.667293395,94.8062704802,83.5264361252
52.53125,826.96356299,94.5842399152,83.4521970949
52.5625,827.25913874,94.3626635027,83.3781977578
52.59375,827.554022063,94.1415406994,83.3044372376
52.625,827.848214378,93.9208709604,83.2309146619
52.65625,828.141717099,93.7006537386,83.157629162
52.6875,828.434531642,93.4808884852,83.0845798725
52.71875,828.726659419,93.2615746494,83.0117659317
52.75,829.01810184,93.0427116787,82.9391864817
52.78125,829.308860314,92.8242990186,82.8668406678
52.8125,829.598936248,92.6063361128,82.7947276391
52.84375,829.888331048,92.3888224035,82.722846548
52.875,830.177046118,92.1717573308,82.6511965507
52.90625,830.46508286,91.9551403332,82.5797768067
52.9375,830.752442674,91.7389708474,82.5085864789
52.96875,831.039126958,91.5232483086,82.4376247338
53.0,831.325137109,91.3079721502,82.3668907413
53.03125,831.610474522,91.0931418037,82.2963836748
53.0625,831.89514059,90.8787566995,82.2261027109
53.09375,832.179136704,90.6648162659,82.1560470298
53.125,832.462464255,90.4513199298,82.086215815
53.15625,832.74512463,90.2382671166,82.0166082534
53.1875,833.027119215,90.0256572501,81.9472235353
53.21875,833.308449394,89.8134897523,81.8780608541
53.25,833.589116549,89.6017640442,81.8091194068
53.28125,833.869122062,89.3904795448,81.7403983935
53.3125,834.14846731,89.1796356719,81.6718970178
53.34375,834.427153672,88.9692318419,81.6036144864
53.375,834.705182521,88.7592674695,81.5355500092
53.40625,834.982555232,88.5497419683,81.4677027996
53.4375,835.259273176,88.3406547502,81.400072074
53.46875,835.535337722,88.132005226,81.3326570522
53.5,835.810750238,87.9237928049,81.265456957
53.53125,836.085512091,87.7160168948,81.1984710145
53.5625,836.359624643,87.5086769026,81.1316984539
53.59375,836.633089259,87.3017722334,81.0651385078
53.625,836.905907297,87.0953022913,80.9987904117
53.65625,837.178080117,86.8892664792,80.9326534041
53.6875,837.449609074,86.6836641985,80.866726727
53.71875,837.720495525,86.4784948496,80.8010096253
53.75,837.990740821,86.2737578316,80.7355013469
53.78125,838.260346315,86.0694525424,80.6702011429
53.8125,838.529313354,85.8655783786,80.6051082675
53.84375,838.797643286,85.662134736,80.5402219777
53.875,839.065337457,85.4591210088,80.4755415338
53.90625,839.332397211,85.2565365904,80.4110661991
53.9375,839.598823887,85.054380873,80.3467952396
53.96875,839.864618828,84.8526532477,80.2827279247
54.0,840.129783369,84.6513531045,80.2188635265
54.03125,840.394318847,84.4504798324,80.1552013202
54.0625,840.658226597,84.2500328193,80.0917405838
54.09375,840.921507949,84.0500114521,80.0284805985
54.125,841.184164235,83.8504151167,79.965420648
54.15625,841.446196783,83.651243198,79.9025600194
54.1875,841.707606918,83.4524950801,79.8398980024
54.21875,841.968395965,83.2541701457,79.7774338897
54.25,842.228565246,83.056267777,79.7151669767
54.28125,842.488116083,82.8587873551,79.6530965618
54.3125,842.747049794,82.6617282601,79.5912219462
54.34375,843.005367694,82.4650898715,79.5295424341
54.375,843.2630711,82.2688715675,79.4680573323
54.40625,843.520161324,82.0730727257,79.4067659504
54.4375,843.776639676,81.8776927229,79.3456676009
54.46875,844.032507466,81.6827309349,79.2847615991
54.5,844.287766,81.4881867368,79.224047263
54.53125,844.542416584,81.2940595029,79.1635239134
54.5625,844.79646052,81.1003486065,79.1031908738
54.59375,845.049899109,80.9070534205,79.0430474705
54.625,845.302733651,80.7141733166,78.9830930324
54.65625,845.554965443,80.5217076662,78.9233268912
54.6875,845.806595779,80.3296558397,78.8637483813
54.71875,846.057625954,80.1380172067,78.8043568397
54.75,846.308057257,79.9467911364,78.7451516063
54.78125,846.55789098,79.7559769971,78.6861320233
54.8125,846.807128408,79.5655741565,78.6272974357
54.84375,847.055770827,79.3755819817,78.5686471914
54.875,847.303819521,79.1859998389,78.5101806405
54.90625,847.55127577,78.9968270939,78.4518971359
54.9375,847.798140855,78.8080631119,78.3937960332
