00:00:00:519		R_CD			0.27208
00:00:00:523		R_CD			0.2748
00:00:00:528		R_CD			0.277548
00:00:00:533		R_CD			0.280324
00:00:00:539		R_CD			0.283127
00:00:00:544		R_CD			0.285958
00:00:00:549		R_CD			0.288818
00:00:00:550	I_CD			5.57834
00:00:00:554		R_CD			0.291706
00:00:00:559		R_CD			0.294623
00:00:00:565		R_CD			0.29757
00:00:00:570		R_CD			0.300545
00:00:00:575		R_CD			0.303551
00:00:00:581		R_CD			0.306586
00:00:00:586		R_CD			0.309652
00:00:00:592		R_CD			0.312749
00:00:00:597		R_CD			0.315876
00:00:00:600	I_CD			5.63413
00:00:00:603		R_CD			0.319035
00:00:00:609		R_CD			0.322225
00:00:00:614		R_CD			0.325447
00:00:00:620		R_CD			0.328702
00:00:00:626		R_CD			0.331989
00:00:00:632		R_CD			0.335309
00:00:00:638		R_CD			0.338662
00:00:00:644		R_CD			0.342048
00:00:00:650	I_CD			5.69047
00:00:00:650		R_CD			0.345469
00:00:00:656		R_CD			0.348924
00:00:00:662		R_CD			0.352413
00:00:00:668		R_CD			0.355937
00:00:00:675		R_CD			0.359496
00:00:00:681		R_CD			0.363091
00:00:00:687		R_CD			0.366722
00:00:00:694		R_CD			0.370389
00:00:00:700	I_CD			5.74737
00:00:00:700		R_CD			0.374093
00:00:00:707		R_CD			0.377834
00:00:00:713		R_CD			0.381613
00:00:00:720		R_CD			0.385429
00:00:00:727		R_CD			0.389283
00:00:00:733		R_CD			0.393176
00:00:00:740		R_CD			0.397108
00:00:00:747		R_CD			0.401079
00:00:00:750	I_CD			5.80484
00:00:00:754		R_CD			0.40509
00:00:00:761		R_CD			0.40914
00:00:00:768		R_CD			0.413232
00:00:00:775		R_CD			0.417364
00:00:00:782		R_CD			0.421538
00:00:00:790		R_CD			0.425753
00:00:00:797		R_CD			0.430011
00:00:00:800	I_CD			5.86289
00:00:00:804		R_CD			0.434311
00:00:00:812		R_CD			0.438654
00:00:00:819		R_CD			0.44304
00:00:00:827		R_CD			0.447471
00:00:00:834		R_CD			0.451946
00:00:00:842		R_CD			0.456465
00:00:00:850	I_CD			5.92152
00:00:00:850		R_CD			0.46103
00:00:00:858		R_CD			0.46564
00:00:00:866		R_CD			0.470296
00:00:00:874		R_CD			0.474999
00:00:00:882		R_CD			0.479749
00:00:00:890		R_CD			0.484547
00:00:00:898		R_CD			0.489392
00:00:00:900	I_CD			5.98074
00:00:00:906		R_CD			0.494286
00:00:00:914		R_CD			0.499229
00:00:00:923		R_CD			0.504221
00:00:00:931		R_CD			0.509264
00:00:00:940		R_CD			0.514356
00:00:00:948		R_CD			0.5195
00:00:00:950	I_CD			6.04054
00:00:00:957		R_CD			0.524695
00:00:00:966		R_CD			0.529942
00:00:00:974		R_CD			0.535241
00:00:00:983		R_CD			0.540594
00:00:00:992		R_CD			0.545999
00:00:01:000	I_CD			6.10095
00:00:01:001		R_CD			0.551459
00:00:01:010		R_CD			0.556974
00:00:01:019		R_CD			0.562544
00:00:01:029		R_CD			0.568169
00:00:01:038		R_CD			0.573851
00:00:01:047		R_CD			0.579589
00:00:01:050	I_CD			6.16196
00:00:01:057		R_CD			0.585385
00:00:01:066		R_CD			0.591239
00:00:01:076		R_CD			0.597152
00:00:01:085		R_CD			0.603123
00:00:01:095		R_CD			0.609154
00:00:01:100	I_CD			6.22358
00:00:01:105		R_CD			0.615246
00:00:01:115		R_CD			0.621398
00:00:01:125		R_CD			0.627612
00:00:01:135		R_CD			0.633888
00:00:01:145		R_CD			0.640227
00:00:01:150	I_CD			6.28582
00:00:01:155		R_CD			0.64663
00:00:01:166		R_CD			0.653096
00:00:01:176		R_CD			0.659627
00:00:01:187		R_CD			0.666223
00:00:01:197		R_CD			0.672885
00:00:01:200	I_CD			6.34867
00:00:01:208		R_CD			0.679614
00:00:01:219		R_CD			0.68641
00:00:01:229		R_CD			0.693274
00:00:01:240		R_CD			0.700207
00:00:01:250	I_CD			6.41216
00:00:01:251		R_CD			0.707209
00:00:01:262		R_CD			0.714281
00:00:01:273		R_CD			0.721424
00:00:01:285		R_CD			0.728638
00:00:01:296		R_CD			0.735925
00:00:01:300	I_CD			6.47628
00:00:01:307		R_CD			0.743284
00:00:01:319		R_CD			0.750717
00:00:01:331		R_CD			0.758224
00:00:01:342		R_CD			0.765806
00:00:01:350	I_CD			6.54104
00:00:01:354		R_CD			0.773464
00:00:01:366		R_CD			0.781199
00:00:01:378		R_CD			0.789011
00:00:01:390		R_CD			0.796901
00:00:01:400	I_CD			6.60645
00:00:01:402		R_CD			0.80487
00:00:01:414		R_CD			0.812919
00:00:01:426		R_CD			0.821048
00:00:01:439		R_CD			0.829259
00:00:01:450	I_CD			6.67252
00:00:01:451		R_CD			0.837551
00:00:01:464		R_CD			0.845927
00:00:01:477		R_CD			0.854386
00:00:01:489		R_CD			0.86293
00:00:01:500	I_CD			6.73924
00:00:01:502		R_CD			0.871559
00:00:01:515		R_CD			0.880275
00:00:01:528		R_CD			0.889077
00:00:01:542		R_CD			0.897968
00:00:01:550	I_CD			6.80664
00:00:01:555		R_CD			0.906948
00:00:01:568		R_CD			0.916017
00:00:01:582		R_CD			0.925177
00:00:01:595		R_CD			0.934429
00:00:01:600	I_CD			6.8747
00:00:01:609		R_CD			0.943774
00:00:01:623		R_CD			0.953211
00:00:01:636		R_CD			0.962743
00:00:01:650	I_CD			6.94345
00:00:01:650		R_CD			0.972371
00:00:01:664		R_CD			0.982095
00:00:01:679		R_CD			0.991915
00:00:01:693		R_CD			1.00183
00:00:01:700	I_CD			7.01288
00:00:01:707		R_CD			1.01185
00:00:01:722		R_CD			1.02197
00:00:01:736		R_CD			1.03219
00:00:01:750	I_CD			7.08301
00:00:01:751		R_CD			1.04251
00:00:01:766		R_CD			1.05294
00:00:01:781		R_CD			1.06347
00:00:01:796		R_CD			1.0741
00:00:01:800	I_CD			7.15384
00:00:01:811		R_CD			1.08484
00:00:01:826		R_CD			1.09569
00:00:01:841		R_CD			1.10665
00:00:01:850	I_CD			7.22538
00:00:01:856		R_CD			1.11772
00:00:01:872		R_CD			1.12889
00:00:01:888		R_CD			1.14018
00:00:01:900	I_CD			7.29764
00:00:01:903		R_CD			1.15158
00:00:01:919		R_CD			1.1631
00:00:01:935		R_CD			1.17473
00:00:01:950	I_CD			7.37061
00:00:01:951		R_CD			1.18648
00:00:01:967		R_CD			1.19834
00:00:01:983		R_CD			1.21033
00:00:02:000	I_CD			7.44432
00:00:02:000		R_CD			1.22243
00:00:02:016		R_CD			1.23465
00:00:02:033		R_CD			1.247
